"filename", "language", "Python", "YAML", "Markdown", "Docker", "Makefile", "JSON", "comment", "blank", "total"
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 0, 22, 0, 1, 23
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a130d76528597f40b\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a130d76528597f40b\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a130d76528597f40b\docs\api-reference.md", "Markdown", 0, 0, 740, 0, 0, 0, 0, 198, 938
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a130d76528597f40b\docs\architecture.md", "Markdown", 0, 0, 560, 0, 0, 0, 0, 140, 700
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a130d76528597f40b\docs\guides\bridges.md", "Markdown", 0, 0, 547, 0, 0, 0, 0, 148, 695
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a130d76528597f40b\docs\guides\deployment.md", "Markdown", 0, 0, 501, 0, 0, 0, 0, 151, 652
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a130d76528597f40b\docs\guides\security.md", "Markdown", 0, 0, 512, 0, 0, 0, 0, 145, 657
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a130d76528597f40b\docs\guides\workflows.md", "Markdown", 0, 0, 460, 0, 0, 0, 0, 136, 596
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a130d76528597f40b\main.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a4095e2628af33554\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a4095e2628af33554\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a4095e2628af33554\main.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a4095e2628af33554\src\gaiaagent\transport\__init__.py", "Python", 18, 0, 0, 0, 0, 0, 3, 3, 24
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a4095e2628af33554\src\gaiaagent\transport\websocket.py", "Python", 298, 0, 0, 0, 0, 0, 173, 58, 529
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\main.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\src\gaiaagent\__init__.py", "Python", 21, 0, 0, 0, 0, 0, 5, 4, 30
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\src\gaiaagent\bridges\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 3, 3, 16
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\src\gaiaagent\bridges\a2a.py", "Python", 241, 0, 0, 0, 0, 0, 66, 27, 334
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\src\gaiaagent\bridges\acp.py", "Python", 247, 0, 0, 0, 0, 0, 149, 32, 428
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\src\gaiaagent\bridges\base.py", "Python", 214, 0, 0, 0, 0, 0, 111, 44, 369
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\src\gaiaagent\core\__init__.py", "Python", 45, 0, 0, 0, 0, 0, 5, 3, 53
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\src\gaiaagent\core\capability.py", "Python", 103, 0, 0, 0, 0, 0, 58, 26, 187
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\src\gaiaagent\core\identity.py", "Python", 151, 0, 0, 0, 0, 0, 94, 58, 303
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\src\gaiaagent\core\message.py", "Python", 197, 0, 0, 0, 0, 0, 93, 54, 344
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a5956c7c1d8233b18\src\gaiaagent\core\types.py", "Python", 103, 0, 0, 0, 0, 0, 33, 55, 191
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\main.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\__init__.py", "Python", 21, 0, 0, 0, 0, 0, 5, 4, 30
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\bridges\__init__.py", "Python", 8, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\bridges\a2a.py", "Python", 241, 0, 0, 0, 0, 0, 66, 27, 334
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\bridges\base.py", "Python", 214, 0, 0, 0, 0, 0, 111, 44, 369
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\bus\__init__.py", "Python", 8, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\bus\codec.py", "Python", 96, 0, 0, 0, 0, 0, 70, 34, 200
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\bus\router.py", "Python", 146, 0, 0, 0, 0, 0, 104, 45, 295
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\bus\session.py", "Python", 163, 0, 0, 0, 0, 0, 103, 45, 311
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\cli.py", "Python", 384, 0, 0, 0, 0, 0, 114, 107, 605
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\core\__init__.py", "Python", 45, 0, 0, 0, 0, 0, 5, 3, 53
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\core\capability.py", "Python", 103, 0, 0, 0, 0, 0, 58, 26, 187
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\core\identity.py", "Python", 151, 0, 0, 0, 0, 0, 94, 58, 303
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\core\message.py", "Python", 197, 0, 0, 0, 0, 0, 93, 54, 344
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\core\types.py", "Python", 103, 0, 0, 0, 0, 0, 33, 55, 191
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\harness\__init__.py", "Python", 13, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\harness\context.py", "Python", 142, 0, 0, 0, 0, 0, 73, 34, 249
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\harness\lifecycle.py", "Python", 297, 0, 0, 0, 0, 0, 187, 85, 569
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\integrations\__init__.py", "Python", 14, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\integrations\claude.py", "Python", 245, 0, 0, 0, 0, 0, 182, 61, 488
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\registry\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 1, 3, 6
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\registry\local.py", "Python", 110, 0, 0, 0, 0, 0, 79, 35, 224
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\sdk\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 1, 3, 6
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\sdk\decorators.py", "Python", 168, 0, 0, 0, 0, 0, 92, 46, 306
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\security\__init__.py", "Python", 36, 0, 0, 0, 0, 0, 5, 3, 44
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\security\audit.py", "Python", 174, 0, 0, 0, 0, 0, 65, 29, 268
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\security\auth.py", "Python", 163, 0, 0, 0, 0, 0, 98, 49, 310
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\security\authz.py", "Python", 178, 0, 0, 0, 0, 0, 93, 55, 326
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\security\delegation.py", "Python", 141, 0, 0, 0, 0, 0, 90, 41, 272
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\transport\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 1, 3, 14
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\transport\http.py", "Python", 149, 0, 0, 0, 0, 0, 48, 31, 228
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\workflows\__init__.py", "Python", 20, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-a6b7c2ed2295fad18\src\gaiaagent\workflows\orchestrator.py", "Python", 269, 0, 0, 0, 0, 0, 181, 82, 532
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-aa83ab33d0ab1db1d\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-aa83ab33d0ab1db1d\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-aa83ab33d0ab1db1d\main.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-aa83ab33d0ab1db1d\src\gaiaagent\observability\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 3, 3, 8
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-aa83ab33d0ab1db1d\src\gaiaagent\observability\dashboard.py", "Python", 392, 0, 0, 0, 0, 0, 178, 82, 652
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-af594dca668c60959\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-af594dca668c60959\.github\workflows\ci.yml", "YAML", 0, 46, 0, 0, 0, 0, 0, 12, 58
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-af594dca668c60959\.github\workflows\release.yml", "YAML", 0, 53, 0, 0, 0, 0, 0, 14, 67
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-af594dca668c60959\Dockerfile", "Docker", 0, 0, 0, 21, 0, 0, 9, 14, 44
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-af594dca668c60959\Makefile", "Makefile", 0, 0, 0, 0, 29, 0, 5, 19, 53
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-af594dca668c60959\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-af594dca668c60959\docker-compose.yml", "YAML", 0, 50, 0, 0, 0, 0, 2, 5, 57
"c:\Users\22136\Desktop\code\GaiaAgent\.claude\worktrees\agent-af594dca668c60959\main.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\22136\Desktop\code\GaiaAgent\.github\workflows\ci.yml", "YAML", 0, 46, 0, 0, 0, 0, 0, 12, 58
"c:\Users\22136\Desktop\code\GaiaAgent\.github\workflows\release.yml", "YAML", 0, 53, 0, 0, 0, 0, 0, 14, 67
"c:\Users\22136\Desktop\code\GaiaAgent\CONTRIBUTING.md", "Markdown", 0, 0, 67, 0, 0, 0, 0, 30, 97
"c:\Users\22136\Desktop\code\GaiaAgent\Dockerfile", "Docker", 0, 0, 0, 21, 0, 0, 9, 14, 44
"c:\Users\22136\Desktop\code\GaiaAgent\Makefile", "Makefile", 0, 0, 0, 0, 29, 0, 5, 19, 53
"c:\Users\22136\Desktop\code\GaiaAgent\PROTOCOL.md", "Markdown", 0, 0, 493, 0, 0, 0, 0, 118, 611
"c:\Users\22136\Desktop\code\GaiaAgent\README.md", "Markdown", 0, 0, 129, 0, 0, 0, 0, 42, 171
"c:\Users\22136\Desktop\code\GaiaAgent\docker-compose.yml", "YAML", 0, 50, 0, 0, 0, 0, 2, 5, 57
"c:\Users\22136\Desktop\code\GaiaAgent\docs\api-reference.md", "Markdown", 0, 0, 740, 0, 0, 0, 0, 198, 938
"c:\Users\22136\Desktop\code\GaiaAgent\docs\architecture.md", "Markdown", 0, 0, 560, 0, 0, 0, 0, 140, 700
"c:\Users\22136\Desktop\code\GaiaAgent\docs\architecture\bridge-guide.md", "Markdown", 0, 0, 117, 0, 0, 0, 0, 33, 150
"c:\Users\22136\Desktop\code\GaiaAgent\docs\architecture\overview.md", "Markdown", 0, 0, 107, 0, 0, 0, 0, 17, 124
"c:\Users\22136\Desktop\code\GaiaAgent\docs\architecture\security-model.md", "Markdown", 0, 0, 82, 0, 0, 0, 0, 26, 108
"c:\Users\22136\Desktop\code\GaiaAgent\docs\examples\e2e_demo.py", "Python", 300, 0, 0, 0, 0, 0, 62, 64, 426
"c:\Users\22136\Desktop\code\GaiaAgent\docs\examples\multi_agent_research.py", "Python", 126, 0, 0, 0, 0, 0, 28, 31, 185
"c:\Users\22136\Desktop\code\GaiaAgent\docs\guides\bridges.md", "Markdown", 0, 0, 547, 0, 0, 0, 0, 148, 695
"c:\Users\22136\Desktop\code\GaiaAgent\docs\guides\deployment.md", "Markdown", 0, 0, 501, 0, 0, 0, 0, 151, 652
"c:\Users\22136\Desktop\code\GaiaAgent\docs\guides\quickstart.md", "Markdown", 0, 0, 131, 0, 0, 0, 0, 36, 167
"c:\Users\22136\Desktop\code\GaiaAgent\docs\guides\security.md", "Markdown", 0, 0, 512, 0, 0, 0, 0, 145, 657
"c:\Users\22136\Desktop\code\GaiaAgent\docs\guides\workflows.md", "Markdown", 0, 0, 460, 0, 0, 0, 0, 136, 596
"c:\Users\22136\Desktop\code\GaiaAgent\main.py", "Python", 300, 0, 0, 0, 0, 0, 62, 64, 426
"c:\Users\22136\Desktop\code\GaiaAgent\spec\AURC_SPEC.md", "Markdown", 0, 0, 2311, 0, 0, 0, 0, 433, 2744
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\__init__.py", "Python", 21, 0, 0, 0, 0, 0, 5, 4, 30
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\bridges\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 3, 3, 16
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\bridges\a2a.py", "Python", 241, 0, 0, 0, 0, 0, 66, 27, 334
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\bridges\acp.py", "Python", 247, 0, 0, 0, 0, 0, 149, 32, 428
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\bridges\base.py", "Python", 214, 0, 0, 0, 0, 0, 111, 44, 369
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\bus\__init__.py", "Python", 8, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\bus\codec.py", "Python", 96, 0, 0, 0, 0, 0, 70, 34, 200
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\bus\router.py", "Python", 146, 0, 0, 0, 0, 0, 104, 45, 295
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\bus\session.py", "Python", 163, 0, 0, 0, 0, 0, 103, 45, 311
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\cli.py", "Python", 384, 0, 0, 0, 0, 0, 114, 107, 605
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\core\__init__.py", "Python", 45, 0, 0, 0, 0, 0, 5, 3, 53
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\core\capability.py", "Python", 103, 0, 0, 0, 0, 0, 58, 26, 187
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\core\identity.py", "Python", 151, 0, 0, 0, 0, 0, 94, 58, 303
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\core\message.py", "Python", 197, 0, 0, 0, 0, 0, 93, 54, 344
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\core\types.py", "Python", 103, 0, 0, 0, 0, 0, 33, 55, 191
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\harness\__init__.py", "Python", 13, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\harness\context.py", "Python", 142, 0, 0, 0, 0, 0, 73, 34, 249
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\harness\lifecycle.py", "Python", 297, 0, 0, 0, 0, 0, 187, 85, 569
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\integrations\__init__.py", "Python", 14, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\integrations\claude.py", "Python", 245, 0, 0, 0, 0, 0, 182, 61, 488
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\observability\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 3, 3, 8
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\observability\dashboard.py", "Python", 392, 0, 0, 0, 0, 0, 178, 82, 652
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\registry\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 1, 3, 6
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\registry\local.py", "Python", 110, 0, 0, 0, 0, 0, 79, 35, 224
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\sdk\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 1, 3, 6
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\sdk\decorators.py", "Python", 168, 0, 0, 0, 0, 0, 92, 46, 306
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\security\__init__.py", "Python", 36, 0, 0, 0, 0, 0, 5, 3, 44
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\security\audit.py", "Python", 174, 0, 0, 0, 0, 0, 65, 29, 268
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\security\auth.py", "Python", 163, 0, 0, 0, 0, 0, 98, 49, 310
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\security\authz.py", "Python", 178, 0, 0, 0, 0, 0, 93, 55, 326
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\security\delegation.py", "Python", 141, 0, 0, 0, 0, 0, 90, 41, 272
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\transport\__init__.py", "Python", 18, 0, 0, 0, 0, 0, 3, 3, 24
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\transport\http.py", "Python", 150, 0, 0, 0, 0, 0, 48, 31, 229
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\transport\websocket.py", "Python", 298, 0, 0, 0, 0, 0, 173, 58, 529
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\workflows\__init__.py", "Python", 20, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Users\22136\Desktop\code\GaiaAgent\src\gaiaagent\workflows\orchestrator.py", "Python", 269, 0, 0, 0, 0, 0, 181, 82, 532
"c:\Users\22136\Desktop\code\GaiaAgent\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\22136\Desktop\code\GaiaAgent\tests\conftest.py", "Python", 39, 0, 0, 0, 0, 0, 2, 5, 46
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_acp_bridge.py", "Python", 187, 0, 0, 0, 0, 0, 19, 24, 230
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_bridges.py", "Python", 216, 0, 0, 0, 0, 0, 4, 28, 248
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_claude_integration.py", "Python", 104, 0, 0, 0, 0, 0, 9, 25, 138
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_cli.py", "Python", 102, 0, 0, 0, 0, 0, 19, 23, 144
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_codec.py", "Python", 84, 0, 0, 0, 0, 0, 1, 22, 107
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_context_registry.py", "Python", 163, 0, 0, 0, 0, 0, 9, 43, 215
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_dashboard.py", "Python", 131, 0, 0, 0, 0, 0, 15, 26, 172
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_decorators.py", "Python", 138, 0, 0, 0, 0, 0, 1, 36, 175
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_identity.py", "Python", 144, 0, 0, 0, 0, 0, 4, 28, 176
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_lifecycle.py", "Python", 206, 0, 0, 0, 0, 0, 14, 49, 269
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_messaging.py", "Python", 151, 0, 0, 0, 0, 0, 5, 24, 180
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_router_session.py", "Python", 164, 0, 0, 0, 0, 0, 4, 41, 209
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_security.py", "Python", 325, 0, 0, 0, 0, 0, 13, 66, 404
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_websocket.py", "Python", 36, 0, 0, 0, 0, 0, 13, 17, 66
"c:\Users\22136\Desktop\code\GaiaAgent\tests\test_workflows.py", "Python", 233, 0, 0, 0, 0, 0, 7, 88, 328
"Total", "-", 14191, 298, 10077, 42, 58, 64, 5919, 6216, 36865